ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
storm.trident.testing.TuplifyArgs;2;0;0;0;1;0;0;0;0;0;1;2;0;0;1;0;1;0;0;0;0;0;2;2;0;0;5;0;0;1;
backtype.storm.transactional.state.TransactionalState;2;6;5;0;0;0;0;0;0;6;11;40;3;0;10;1;8;2;0;0;9;0;10;10;0;0;11;5;0;1;
storm.trident.testing.MemoryBackingMap;2;0;0;1;1;0;0;0;0;0;2;6;1;0;2;0;2;0;0;0;0;0;3;3;3;0;5;0;0;1;
storm.trident.fluent.GroupedStream;11;0;0;0;0;0;0;0;0;0;0;27;2;0;26;0;26;0;0;0;1;0;59;58;0;0;24;0;0;0;
storm.trident.planner.processor.AppendCollector;5;0;0;0;1;0;0;0;0;0;1;8;4;0;5;0;5;0;0;0;0;0;5;5;1;0;8;0;0;1;
backtype.storm.topology.base.BaseTransactionalSpout;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;
backtype.storm.testing.CountingBatchBolt;6;0;0;0;0;0;0;0;0;0;0;5;3;0;4;0;4;0;0;0;0;0;6;6;0;0;8;0;0;0;
backtype.storm.testing.MockedSources;1;0;1;1;0;0;0;0;0;0;2;7;1;0;3;0;3;0;0;0;3;0;2;2;0;0;6;0;0;1;
backtype.storm.serialization.types.HashMapSerializer;3;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;3;3;1;0;5;0;0;0;
backtype.storm.generated.SpoutStats;10;2;53;6;12;0;1;13;4;2;87;288;8;0;40;2;38;0;0;0;3;4;21;15;9;0;15;8;13;4;
backtype.storm.testing.AckTracker;1;0;0;0;0;0;0;0;0;0;0;5;2;0;5;0;5;0;0;0;0;0;2;2;0;0;4;0;0;0;
storm.trident.operation.BaseAggregator;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;
backtype.storm.serialization.types.HashSetSerializer;3;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;3;3;1;0;5;0;0;0;
storm.trident.operation.impl.CaptureCollector;3;0;0;0;0;0;0;0;0;0;0;3;2;0;3;0;3;0;0;0;0;0;3;3;1;0;3;0;0;0;
backtype.storm.serialization.GzipSerializationDelegate;3;2;0;0;0;0;0;0;0;3;3;10;0;0;3;0;3;0;0;0;0;0;3;3;0;1;8;3;0;1;
backtype.storm.transactional.TransactionAttempt;2;0;1;0;0;0;0;0;0;0;1;9;2;0;7;0;7;0;0;0;0;1;2;2;0;0;8;0;0;1;
backtype.storm.hooks.info.BoltExecuteInfo;2;0;0;0;0;0;0;0;0;0;0;3;3;0;1;0;1;0;0;0;0;1;2;2;0;0;1;0;0;0;
backtype.storm.testing.TupleCaptureBolt;5;0;1;0;0;0;0;0;0;0;1;12;3;0;9;0;9;0;0;0;0;0;5;5;0;0;10;0;0;1;
backtype.storm.testing.TestEventOrderCheckBolt;5;0;1;0;0;0;0;0;0;0;1;8;4;0;5;0;5;0;0;0;0;0;5;5;0;0;13;0;0;1;
