ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
net.sf.javaml.distance.fastdtw.dtw.WarpPathWindow;2;0;0;1;0;0;0;0;0;0;1;5;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;
net.sf.javaml.filter.ClassRetainFilter;2;0;1;0;2;0;0;0;0;0;3;8;1;0;5;0;5;0;0;0;0;0;4;2;0;0;3;0;1;2;
net.sf.javaml.utils.MathUtils;2;0;3;2;2;0;0;0;0;0;7;26;1;0;12;0;12;12;0;0;0;12;7;5;0;5;1;0;2;2;
net.sf.javaml.sampling.SamplingMethod;1;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;3;3;3;3;0;8;0;0;0;
net.sf.javaml.filter.normalize.InstanceNormalizeMidrange;2;0;3;1;2;0;0;0;0;0;6;15;3;0;5;0;5;0;0;0;0;2;3;0;0;0;5;0;2;2;
tutorials.classification.TutorialKDtreeKNN;1;0;1;0;1;0;0;0;0;0;2;7;0;0;1;0;1;1;0;0;0;0;1;1;0;1;6;0;1;2;
net.sf.javaml.classification.AbstractMeanClassifier;2;0;1;0;2;0;0;0;0;0;3;11;2;0;2;0;2;0;0;0;0;0;2;1;0;0;4;0;1;2;
net.sf.javaml.matrix.SwapFileMatrix;0;2;0;0;0;0;0;0;0;2;2;15;3;0;5;0;5;0;0;0;0;7;0;0;0;0;3;0;0;1;
tutorials.classification.TutorialRandomForest;1;0;1;0;1;0;0;0;0;0;2;7;0;0;1;0;1;1;0;0;0;0;1;1;0;1;7;0;1;2;
tutorials.classification.TutorialLibSVM;1;0;1;0;1;0;0;0;0;0;2;7;0;0;1;0;1;1;0;0;0;0;1;1;0;1;6;0;1;2;
net.sf.javaml.classification.bayes.BayesNet;3;0;1;0;0;0;1;0;0;0;2;35;5;0;18;4;0;0;0;0;0;12;5;5;5;0;4;0;0;1;
